e,l,s,i,f,n,t,r,t,u,v,o,d,w,h,p,+,-,*,/,<,=,>,;,comma,(,),[,],{,},!,letter,digit,white_character,rare_character
11,41,41,1,41,41,41,16,41,41,23,34,41,28,41,41,48,49,50,51,56,45,59,64,65,66,67,68,69,70,71,62,41,43,0,72
41,41,41,41,2,4,41,41,41,41,41,41,41,41,41,41,42,42,42,51,56,45,59,42,42,42,42,42,42,42,42,62,41,73,42,72
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,3,3,3,51,56,45,59,3,3,3,3,3,3,3,3,62,41,73,3,72
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
41,41,41,41,41,41,5,41,41,41,41,41,41,41,41,7,42,42,42,51,56,45,59,42,42,42,42,42,42,42,42,62,41,73,42,72
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,6,6,6,51,56,45,59,6,6,6,6,6,6,6,6,62,41,73,6,72
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
41,41,41,41,41,41,41,41,41,8,41,41,41,41,41,41,42,42,42,51,56,45,59,42,42,42,42,42,42,42,42,62,41,73,42,72
41,41,41,41,41,41,9,41,41,41,41,41,41,41,41,41,42,42,42,51,56,45,59,42,42,42,42,42,42,42,42,62,41,73,42,72
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,10,10,10,51,56,45,59,10,10,10,10,10,10,10,10,62,41,73,10,72
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
41,12,41,41,41,41,41,41,41,41,41,41,41,41,41,41,48,49,50,51,56,45,59,64,65,64,65,66,67,68,69,62,41,73,42,72
41,41,13,41,41,41,41,41,41,41,41,41,41,41,41,41,48,49,50,51,56,45,59,64,65,64,65,66,67,68,69,62,41,73,42,72
14,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,48,49,50,51,56,45,59,64,65,64,65,66,67,68,69,62,41,73,42,72
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,15,15,15,51,56,45,59,15,15,15,15,15,15,15,15,62,41,73,15,72
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
17,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,48,49,50,51,56,45,59,64,65,64,65,66,67,68,69,62,41,73,42,72
41,41,41,41,41,41,18,41,41,41,41,41,41,41,41,41,48,49,50,51,56,45,59,64,65,64,65,66,67,68,69,62,41,73,42,72
41,41,41,41,41,41,41,41,41,19,41,41,41,41,41,41,48,49,50,51,56,45,59,64,65,64,65,66,67,68,69,62,41,73,42,72
